0;id;notes;macro;version;arch;enabled;update;remove;name;url;manifest;deps;rank;class;packages;brief;description
171;44;ok;ROBBY_WORKMAN;13.1;mixed;1;1;0;rlworkman-for-13.1;http://rlworkman.net/pkgs/13.1/;;0;99;mi131;PACKAGES.TXT.gz;Robby Workman;Robby Workman s Packages for Slackware 13.1 32&64 bit
172;40;todo;ROBBY_WORKMAN;13.37;mixed;1;1;0;rlworkman-for-13.37;http://rlworkman.net/pkgs/13.37/;MANIFEST.bz2;0;99;mi137;PACKAGES.TXT;Robby Workman;Robby Workman s Packages for Slackware 13.37 32&64 bit
173;41;ok;ROBBY_WORKMAN;12.2;i386;1;1;0;rlworkman-for-12.2;http://rlworkman.net/pkgs/12.2/;;0;99;32122;PACKAGES.TXT.gz;Robby Workman;Robby Workman s Packages for Slackware 12.2
174;42;removed;ROBBY_WORKMAN;current;mixed;0;0;1;rlworkman-for-current;http://rlworkman.net/pkgs/current/;;0;99;micur;PACKAGES.TXT.gz;Robby Workman;Robby Workman s Packages for Slackware Current
175;43;ok;ROBBY_WORKMAN;13.0;mixed;1;1;0;rlworkman-for-13.0;http://rlworkman.net/pkgs/13.0/;;0;99;mi130;PACKAGES.TXT.gz;Robby Workman;Robby Workman s Packages for Slackware 13.0 32&64 bit
176;108;ok;ROBBY_WORKMAN;14.0;mixed;1;1;0;rlworkman-for-14.0;http://rlworkman.net/pkgs/14.0/;;0;99;mi140;PACKAGES.TXT.gz;Robby Workman;Robby Workman s Packages for Slackware 14.0 32&64 bit
191;18;removed;LINUXPACKAGES;13.1;i386;0;0;1;linuxpackages-13.1-i386;http://linuxpackages.inode.at/Slackware/Slackware-13.1-i386/;;1;99;32131;PACKAGES.TXT.gz;LinuxPackages;Repository from LinuxPackages.net containing 32bit packages for Slackware 13.1
192;33;ok;LINUXPACKAGES;12.2;i386;1;1;0;linuxpackages-12.2-i386;http://linuxpackages.inode.at/Slackware/Slackware-12.2-i386/;;1;99;32122;PACKAGES.TXT.gz;LinuxPackages;Repository from LinuxPackages.net containing 32bit packages for Slackware 12.2
193;34;ok;LINUXPACKAGES;13.0;i386;1;1;0;linuxpackages-13.0-i386-sotirov;http://linuxpackages.inode.at/Slackware/Slackware-13.0-i386/sotirov/;;1;99;32130;PACKAGES.TXT.gz;LP Sotirov;Repository from LinuxPackages.net containing 32bit packages for Slackware 13.0
204;31;;MIXED;current;mixed;1;1;0;slackers.it;http://www.slackers.it/repository/;MANIFEST.bz2;0;99;micur;PACKAGES.TXT.gz;Slackers;Repository from www.slackers.it. contains mixed 32 and 64 bit packages for Slackware Current
