0;'id';'notes';'macro';'version';'arch';'enabled';'update';'remove';'name';'url';'manifest';'deps';'rank';'class';'packages';'brief';'description'
115;86;'todo';'GSB_GNOME';'12.2';'i386';1;1;0;'gsb-gnome2.26-12.2';'http://ftp.osuosl.org/pub/gsb/gsb-2.26_slackware-12.2/';'gsb/MANIFEST.bz2';1;99;'32122';'PACKAGES.TXT';'gsb-gnome-2.26';'z'
116;87;'todo';'GSB_GNOME';'13.37';'i386';1;1;0;'gsb-gnome3.0-13.37';'http://ftp.osuosl.org/pub/gsb/gsb-3.0_slackware-13.37/';'gsb/MANIFEST.bz2';1;99;'32137';'PACKAGES.TXT';'gsb-gnome-3.0';'z'
117;88;'todo';'GSB_GNOME';'12.0';'x86_64';0;0;1;'gsb64-gnome2.20.3-12.0';'http://ftp.osuosl.org/pub/gsb/gsb64-2.20.3/';'gsb64/MANIFEST.bz2';1;99;'64120';'PACKAGES.TXT';'gsb-gnome-2.20.3';'z'
118;89;'todo';'GSB_GNOME';'13.37';'x86_64';1;1;0;'gsb64-gnome3.0-13.37';'http://ftp.osuosl.org/pub/gsb/gsb64-3.0_slackware64-13.37/';'gsb64/MANIFEST.bz2';1;99;'64137';'PACKAGES.TXT';'gsb-gnome-3.0';'z'
141;45;;'JOHANNES_SHOEPFER';'13.0';'x86_64';0;0;1;'schoepfer.info-x86_64-13.0';'http://slackware.schoepfer.info/13.0_64/';'slackware64/MANIFEST.bz2';1;99;'64130';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware64 13.0'
142;46;;'JOHANNES_SHOEPFER';'13.0';'i386';0;0;1;'schoepfer.info-i386-13.0';'http://slackware.schoepfer.info/13.0/';'slackware/MANIFEST.bz2';1;99;'32130';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.0 32bit'
143;47;;'JOHANNES_SHOEPFER';'12.2';'i386';0;0;1;'schoepfer.info-i386-12.2';'http://slackware.schoepfer.info/12.2/';'slackware/MANIFEST.bz2';1;99;'32122';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 12.2'
144;48;;'JOHANNES_SHOEPFER';'13.1';'i386';1;1;0;'schoepfer.info-i386-13.1';'http://slackware.schoepfer.info/13.1/';'slackware/MANIFEST.bz2';1;99;'32131';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.1 32bit'
145;49;;'JOHANNES_SHOEPFER';'13.1';'x86_64';1;1;0;'schoepfer.info-x86_64-13.1';'http://slackware.schoepfer.info/13.1_64/';'slackware64/MANIFEST.bz2';1;99;'64131';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.1 64bit'
146;83;'todo';'JOHANNES_SHOEPFER';'13.1';'noarch';1;1;0;'schoepfer.info-x86_64-noarch';'http://slackware.schoepfer.info/13.1_noarch/';'MANIFEST.bz2';1;99;'mi131';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.1 noarch'
147;8;;'JOHANNES_SHOEPFER';'13.37';'i386';1;1;0;'schoepfer.info-i386-13.37';'http://slackware.schoepfer.info/13.37/';'slackware/MANIFEST.bz2';1;99;'32131';'PACKAGES.TXT';'Johannes Schopfer';'Packages from Johannes Schopfer (schoepfer.info) for Slackware 13.37 32bit'
